GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01
Id,Id2,Geography,Estimate; Per capita income in the past 12 months (in 2012 inflation-adjusted dollars),Margin of Error; Per capita income in the past 12 months (in 2012 inflation-adjusted dollars)
1400000US34001000100,34001000100,"Census Tract 1, Atlantic County, New Jersey",22010,3704
1400000US34001000200,34001000200,"Census Tract 2, Atlantic County, New Jersey",28468,6224
1400000US34001000300,34001000300,"Census Tract 3, Atlantic County, New Jersey",15694,2263
1400000US34001000400,34001000400,"Census Tract 4, Atlantic County, New Jersey",25550,7118
1400000US34001000500,34001000500,"Census Tract 5, Atlantic County, New Jersey",16181,2640
1400000US34001001100,34001001100,"Census Tract 11, Atlantic County, New Jersey",21312,4205
1400000US34001001200,34001001200,"Census Tract 12, Atlantic County, New Jersey",22224,3842
1400000US34001001300,34001001300,"Census Tract 13, Atlantic County, New Jersey",18106,2945
1400000US34001001400,34001001400,"Census Tract 14, Atlantic County, New Jersey",11652,2122
1400000US34001001500,34001001500,"Census Tract 15, Atlantic County, New Jersey",14075,3096
1400000US34001001900,34001001900,"Census Tract 19, Atlantic County, New Jersey",22413,5031
1400000US34001002300,34001002300,"Census Tract 23, Atlantic County, New Jersey",11741,2478
1400000US34001002400,34001002400,"Census Tract 24, Atlantic County, New Jersey",11739,2662
1400000US34001002500,34001002500,"Census Tract 25, Atlantic County, New Jersey",21004,4407
1400000US34001010101,34001010101,"Census Tract 101.01, Atlantic County, New Jersey",38909,3374
1400000US34001010102,34001010102,"Census Tract 101.02, Atlantic County, New Jersey",43449,11212
1400000US34001010104,34001010104,"Census Tract 101.04, Atlantic County, New Jersey",33681,7063
1400000US34001010105,34001010105,"Census Tract 101.05, Atlantic County, New Jersey",31773,6441
1400000US34001010200,34001010200,"Census Tract 102, Atlantic County, New Jersey",34712,6432
1400000US34001010300,34001010300,"Census Tract 103, Atlantic County, New Jersey",24019,2433
1400000US34001010401,34001010401,"Census Tract 104.01, Atlantic County, New Jersey",31684,3136
1400000US34001010403,34001010403,"Census Tract 104.03, Atlantic County, New Jersey",24002,2310
1400000US34001010501,34001010501,"Census Tract 105.01, Atlantic County, New Jersey",34596,2851
1400000US34001010503,34001010503,"Census Tract 105.03, Atlantic County, New Jersey",22567,2481
1400000US34001010505,34001010505,"Census Tract 105.05, Atlantic County, New Jersey",37295,6166
1400000US34001010506,34001010506,"Census Tract 105.06, Atlantic County, New Jersey",33168,5037
1400000US34001010600,34001010600,"Census Tract 106, Atlantic County, New Jersey",19631,2323
1400000US34001010700,34001010700,"Census Tract 107, Atlantic County, New Jersey",26710,4060
1400000US34001010800,34001010800,"Census Tract 108, Atlantic County, New Jersey",23746,2545
1400000US34001010900,34001010900,"Census Tract 109, Atlantic County, New Jersey",30117,3362
1400000US34001011000,34001011000,"Census Tract 110, Atlantic County, New Jersey",27560,3852
1400000US34001011100,34001011100,"Census Tract 111, Atlantic County, New Jersey",26591,2528
1400000US34001011201,34001011201,"Census Tract 112.01, Atlantic County, New Jersey",27747,2169
1400000US34001011202,34001011202,"Census Tract 112.02, Atlantic County, New Jersey",26316,2459
1400000US34001011300,34001011300,"Census Tract 113, Atlantic County, New Jersey",24372,2958
1400000US34001011401,34001011401,"Census Tract 114.01, Atlantic County, New Jersey",34577,4140
1400000US34001011403,34001011403,"Census Tract 114.03, Atlantic County, New Jersey",24484,2338
1400000US34001011404,34001011404,"Census Tract 114.04, Atlantic County, New Jersey",24107,2635
1400000US34001011500,34001011500,"Census Tract 115, Atlantic County, New Jersey",23382,2424
1400000US34001011600,34001011600,"Census Tract 116, Atlantic County, New Jersey",29780,1700
1400000US34001011701,34001011701,"Census Tract 117.01, Atlantic County, New Jersey",25188,2382
1400000US34001011702,34001011702,"Census Tract 117.02, Atlantic County, New Jersey",16753,2316
1400000US34001011802,34001011802,"Census Tract 118.02, Atlantic County, New Jersey",29640,2149
1400000US34001011803,34001011803,"Census Tract 118.03, Atlantic County, New Jersey",29979,4841
1400000US34001011804,34001011804,"Census Tract 118.04, Atlantic County, New Jersey",34550,3608
1400000US34001011805,34001011805,"Census Tract 118.05, Atlantic County, New Jersey",30636,4768
1400000US34001011900,34001011900,"Census Tract 119, Atlantic County, New Jersey",16405,1875
1400000US34001012000,34001012000,"Census Tract 120, Atlantic County, New Jersey",21067,2547
1400000US34001012100,34001012100,"Census Tract 121, Atlantic County, New Jersey",20247,2497
1400000US34001012200,34001012200,"Census Tract 122, Atlantic County, New Jersey",17326,1537
1400000US34001012302,34001012302,"Census Tract 123.02, Atlantic County, New Jersey",31045,3833
1400000US34001012401,34001012401,"Census Tract 124.01, Atlantic County, New Jersey",31294,4592
1400000US34001012402,34001012402,"Census Tract 124.02, Atlantic County, New Jersey",31288,2916
1400000US34001012501,34001012501,"Census Tract 125.01, Atlantic County, New Jersey",38901,7479
1400000US34001012502,34001012502,"Census Tract 125.02, Atlantic County, New Jersey",49389,9732
1400000US34001012602,34001012602,"Census Tract 126.02, Atlantic County, New Jersey",48914,6755
1400000US34001012701,34001012701,"Census Tract 127.01, Atlantic County, New Jersey",25176,2775
1400000US34001012702,34001012702,"Census Tract 127.02, Atlantic County, New Jersey",29773,5062
1400000US34001012801,34001012801,"Census Tract 128.01, Atlantic County, New Jersey",24685,4225
1400000US34001012802,34001012802,"Census Tract 128.02, Atlantic County, New Jersey",33564,5211
1400000US34001013000,34001013000,"Census Tract 130, Atlantic County, New Jersey",47115,7520
1400000US34001013101,34001013101,"Census Tract 131.01, Atlantic County, New Jersey",66423,21977
1400000US34001013102,34001013102,"Census Tract 131.02, Atlantic County, New Jersey",44307,8352
1400000US34001013201,34001013201,"Census Tract 132.01, Atlantic County, New Jersey",31556,9263
1400000US34001013202,34001013202,"Census Tract 132.02, Atlantic County, New Jersey",25839,5140
1400000US34001013301,34001013301,"Census Tract 133.01, Atlantic County, New Jersey",44418,8596
1400000US34001013302,34001013302,"Census Tract 133.02, Atlantic County, New Jersey",33972,7277
1400000US34001013500,34001013500,"Census Tract 135, Atlantic County, New Jersey",60719,7793
1400000US34001983400,34001983400,"Census Tract 9834, Atlantic County, New Jersey",3748,659
1400000US34001990000,34001990000,"Census Tract 9900, Atlantic County, New Jersey",-,**
1400000US34003001000,34003001000,"Census Tract 10, Bergen County, New Jersey",55598,6213
1400000US34003002100,34003002100,"Census Tract 21, Bergen County, New Jersey",100874,15755
1400000US34003002200,34003002200,"Census Tract 22, Bergen County, New Jersey",36357,4418
1400000US34003002300,34003002300,"Census Tract 23, Bergen County, New Jersey",37859,5521
1400000US34003003100,34003003100,"Census Tract 31, Bergen County, New Jersey",34507,2991
1400000US34003003200,34003003200,"Census Tract 32, Bergen County, New Jersey",32739,5730
1400000US34003003300,34003003300,"Census Tract 33, Bergen County, New Jersey",34975,3067
1400000US34003003401,34003003401,"Census Tract 34.01, Bergen County, New Jersey",45158,7989
1400000US34003003402,34003003402,"Census Tract 34.02, Bergen County, New Jersey",33977,5299
1400000US34003003500,34003003500,"Census Tract 35, Bergen County, New Jersey",28816,3165
1400000US34003004001,34003004001,"Census Tract 40.01, Bergen County, New Jersey",32291,3737
1400000US34003004002,34003004002,"Census Tract 40.02, Bergen County, New Jersey",31076,3619
1400000US34003005000,34003005000,"Census Tract 50, Bergen County, New Jersey",32388,3503
1400000US34003006100,34003006100,"Census Tract 61, Bergen County, New Jersey",31377,3034
1400000US34003006201,34003006201,"Census Tract 62.01, Bergen County, New Jersey",29753,4330
1400000US34003006202,34003006202,"Census Tract 62.02, Bergen County, New Jersey",50768,9641
1400000US34003006300,34003006300,"Census Tract 63, Bergen County, New Jersey",34671,4020
1400000US34003007001,34003007001,"Census Tract 70.01, Bergen County, New Jersey",44587,4867
1400000US34003007002,34003007002,"Census Tract 70.02, Bergen County, New Jersey",53481,8303
1400000US34003008000,34003008000,"Census Tract 80, Bergen County, New Jersey",55703,8150
1400000US34003009100,34003009100,"Census Tract 91, Bergen County, New Jersey",70209,10860
1400000US34003009200,34003009200,"Census Tract 92, Bergen County, New Jersey",59593,7756
1400000US34003010100,34003010100,"Census Tract 101, Bergen County, New Jersey",38018,3829
1400000US34003010200,34003010200,"Census Tract 102, Bergen County, New Jersey",33017,4032
1400000US34003010300,34003010300,"Census Tract 103, Bergen County, New Jersey",38204,2421
1400000US34003011100,34003011100,"Census Tract 111, Bergen County, New Jersey",33163,6438
1400000US34003011200,34003011200,"Census Tract 112, Bergen County, New Jersey",28455,3485
1400000US34003011300,34003011300,"Census Tract 113, Bergen County, New Jersey",35949,4603
1400000US34003011400,34003011400,"Census Tract 114, Bergen County, New Jersey",30639,3773
1400000US34003012001,34003012001,"Census Tract 120.01, Bergen County, New Jersey",35544,3994
1400000US34003012002,34003012002,"Census Tract 120.02, Bergen County, New Jersey",34445,4294
1400000US34003013001,34003013001,"Census Tract 130.01, Bergen County, New Jersey",64540,7667
1400000US34003013002,34003013002,"Census Tract 130.02, Bergen County, New Jersey",60298,10845
1400000US34003014000,34003014000,"Census Tract 140, Bergen County, New Jersey",39615,4111
1400000US34003015100,34003015100,"Census Tract 151, Bergen County, New Jersey",83903,16524
1400000US34003015200,34003015200,"Census Tract 152, Bergen County, New Jersey",35136,4268
1400000US34003015300,34003015300,"Census Tract 153, Bergen County, New Jersey",25197,3810
1400000US34003015400,34003015400,"Census Tract 154, Bergen County, New Jersey",34102,7976
1400000US34003015500,34003015500,"Census Tract 155, Bergen County, New Jersey",56793,8753
1400000US34003016000,34003016000,"Census Tract 160, Bergen County, New Jersey",65832,9657
1400000US34003017100,34003017100,"Census Tract 171, Bergen County, New Jersey",52408,6630
1400000US34003017200,34003017200,"Census Tract 172, Bergen County, New Jersey",39082,5586
1400000US34003017300,34003017300,"Census Tract 173, Bergen County, New Jersey",35073,2760
1400000US34003017400,34003017400,"Census Tract 174, Bergen County, New Jersey",46452,3735
1400000US34003017500,34003017500,"Census Tract 175, Bergen County, New Jersey",36965,3091
1400000US34003018100,34003018100,"Census Tract 181, Bergen County, New Jersey",22706,2494
1400000US34003018200,34003018200,"Census Tract 182, Bergen County, New Jersey",24774,2810
1400000US34003019102,34003019102,"Census Tract 191.02, Bergen County, New Jersey",34981,4130
1400000US34003019103,34003019103,"Census Tract 191.03, Bergen County, New Jersey",44814,7175
1400000US34003019104,34003019104,"Census Tract 191.04, Bergen County, New Jersey",38379,5458
1400000US34003019202,34003019202,"Census Tract 192.02, Bergen County, New Jersey",29811,4593
1400000US34003019203,34003019203,"Census Tract 192.03, Bergen County, New Jersey",49749,6575
1400000US34003019204,34003019204,"Census Tract 192.04, Bergen County, New Jersey",34075,5982
1400000US34003019303,34003019303,"Census Tract 193.03, Bergen County, New Jersey",37229,4791
1400000US34003019304,34003019304,"Census Tract 193.04, Bergen County, New Jersey",26265,3530
1400000US34003019305,34003019305,"Census Tract 193.05, Bergen County, New Jersey",75255,14033
1400000US34003019306,34003019306,"Census Tract 193.06, Bergen County, New Jersey",62147,15752
1400000US34003020100,34003020100,"Census Tract 201, Bergen County, New Jersey",62949,12785
1400000US34003020200,34003020200,"Census Tract 202, Bergen County, New Jersey",94393,18380
1400000US34003021100,34003021100,"Census Tract 211, Bergen County, New Jersey",26226,3533
1400000US34003021200,34003021200,"Census Tract 212, Bergen County, New Jersey",22714,2622
1400000US34003021300,34003021300,"Census Tract 213, Bergen County, New Jersey",28615,4617
1400000US34003021400,34003021400,"Census Tract 214, Bergen County, New Jersey",25971,3285
1400000US34003021500,34003021500,"Census Tract 215, Bergen County, New Jersey",22553,1675
1400000US34003021600,34003021600,"Census Tract 216, Bergen County, New Jersey",18251,2334
1400000US34003022100,34003022100,"Census Tract 221, Bergen County, New Jersey",74834,16614
1400000US34003022200,34003022200,"Census Tract 222, Bergen County, New Jersey",58466,6047
1400000US34003023100,34003023100,"Census Tract 231, Bergen County, New Jersey",24578,3644
1400000US34003023200,34003023200,"Census Tract 232, Bergen County, New Jersey",33180,3973
1400000US34003023301,34003023301,"Census Tract 233.01, Bergen County, New Jersey",33794,5506
1400000US34003023302,34003023302,"Census Tract 233.02, Bergen County, New Jersey",57938,7213
1400000US34003023401,34003023401,"Census Tract 234.01, Bergen County, New Jersey",36335,3382
1400000US34003023402,34003023402,"Census Tract 234.02, Bergen County, New Jersey",27442,4373
1400000US34003023501,34003023501,"Census Tract 235.01, Bergen County, New Jersey",19837,2865
1400000US34003023502,34003023502,"Census Tract 235.02, Bergen County, New Jersey",35215,5031
1400000US34003023601,34003023601,"Census Tract 236.01, Bergen County, New Jersey",24769,4576
1400000US34003023602,34003023602,"Census Tract 236.02, Bergen County, New Jersey",23774,3510
1400000US34003024100,34003024100,"Census Tract 241, Bergen County, New Jersey",60117,10427
1400000US34003024200,34003024200,"Census Tract 242, Bergen County, New Jersey",53764,5591
1400000US34003025100,34003025100,"Census Tract 251, Bergen County, New Jersey",40024,4848
1400000US34003025200,34003025200,"Census Tract 252, Bergen County, New Jersey",42858,6216
1400000US34003026100,34003026100,"Census Tract 261, Bergen County, New Jersey",49769,3626
1400000US34003026200,34003026200,"Census Tract 262, Bergen County, New Jersey",43359,3954
1400000US34003027000,34003027000,"Census Tract 270, Bergen County, New Jersey",72929,14435
1400000US34003028001,34003028001,"Census Tract 280.01, Bergen County, New Jersey",39660,4696
1400000US34003028002,34003028002,"Census Tract 280.02, Bergen County, New Jersey",44859,5207
1400000US34003029100,34003029100,"Census Tract 291, Bergen County, New Jersey",29829,2656
1400000US34003029200,34003029200,"Census Tract 292, Bergen County, New Jersey",30450,3540
1400000US34003030100,34003030100,"Census Tract 301, Bergen County, New Jersey",25949,3339
1400000US34003030200,34003030200,"Census Tract 302, Bergen County, New Jersey",24748,2911
1400000US34003030300,34003030300,"Census Tract 303, Bergen County, New Jersey",25083,2849
1400000US34003030400,34003030400,"Census Tract 304, Bergen County, New Jersey",27172,3949
1400000US34003031100,34003031100,"Census Tract 311, Bergen County, New Jersey",36692,4064
1400000US34003031200,34003031200,"Census Tract 312, Bergen County, New Jersey",30660,2839
1400000US34003031300,34003031300,"Census Tract 313, Bergen County, New Jersey",37222,7469
1400000US34003031400,34003031400,"Census Tract 314, Bergen County, New Jersey",31341,3751
1400000US34003032102,34003032102,"Census Tract 321.02, Bergen County, New Jersey",71209,14965
1400000US34003032103,34003032103,"Census Tract 321.03, Bergen County, New Jersey",47576,5146
1400000US34003032104,34003032104,"Census Tract 321.04, Bergen County, New Jersey",21856,7336
1400000US34003032201,34003032201,"Census Tract 322.01, Bergen County, New Jersey",61117,6482
1400000US34003032202,34003032202,"Census Tract 322.02, Bergen County, New Jersey",46353,7605
1400000US34003033100,34003033100,"Census Tract 331, Bergen County, New Jersey",38190,3361
1400000US34003033200,34003033200,"Census Tract 332, Bergen County, New Jersey",34889,3812
1400000US34003033300,34003033300,"Census Tract 333, Bergen County, New Jersey",34906,4620
1400000US34003034000,34003034000,"Census Tract 340, Bergen County, New Jersey",40889,3931
1400000US34003035100,34003035100,"Census Tract 351, Bergen County, New Jersey",50356,5191
1400000US34003035200,34003035200,"Census Tract 352, Bergen County, New Jersey",59620,6037
1400000US34003036100,34003036100,"Census Tract 361, Bergen County, New Jersey",32765,3780
1400000US34003036200,34003036200,"Census Tract 362, Bergen County, New Jersey",31507,3501
1400000US34003037100,34003037100,"Census Tract 371, Bergen County, New Jersey",35125,4225
1400000US34003037201,34003037201,"Census Tract 372.01, Bergen County, New Jersey",40607,6087
1400000US34003037202,34003037202,"Census Tract 372.02, Bergen County, New Jersey",33464,3196
1400000US34003038100,34003038100,"Census Tract 381, Bergen County, New Jersey",36217,3880
1400000US34003038200,34003038200,"Census Tract 382, Bergen County, New Jersey",31373,2910
1400000US34003038300,34003038300,"Census Tract 383, Bergen County, New Jersey",41834,9638
1400000US34003039100,34003039100,"Census Tract 391, Bergen County, New Jersey",42626,4825
1400000US34003039200,34003039200,"Census Tract 392, Bergen County, New Jersey",43078,3590
1400000US34003039300,34003039300,"Census Tract 393, Bergen County, New Jersey",46802,6660
1400000US34003040001,34003040001,"Census Tract 400.01, Bergen County, New Jersey",69994,13998
1400000US34003040002,34003040002,"Census Tract 400.02, Bergen County, New Jersey",49866,5553
1400000US34003041100,34003041100,"Census Tract 411, Bergen County, New Jersey",28047,5413
1400000US34003041200,34003041200,"Census Tract 412, Bergen County, New Jersey",33342,5610
