GEO_ID,Geography,TRACT,TOTPOP,5+POP,TOTHH,TOTHU,OCCHU,POVERTY,UNEMPLOYED,PERCAP,noHSDIPL,65+,17-_abs,DISABLE,SINGLPAR_abs,ENGLTW_abs,10+UNITS_abs,MOBILEHOMES,HOUSCROWD_abs,noVEHICLE,GROUPQRTRS_abs,MINORITY_abs,17-,SINGLPAR,MINORITY,ENGLTW,10+UNITS,HOUSCROWD,GROUPQRTRS,r_POVERTY,r_UNEMPLOYED,r_PERCAP,r_noHSDIPL,r_65+,r_17-,r_DISABLE,r_SINGLPAR,r_MINORITY,r_ENGLTW,r_10+UNITS,r_MOBILEHOMES,r_HOUSCROWD,r_noVEHICLE,r_GROUPQRTRS,sc_SE,sc_HH,sc_ML,sc_HT,r_SE,r_HH,r_ML,r_HT,CDC_score,CDC_percrank
1400000US34001000100,"Census Tract 1, Atlantic County, New Jersey",100,2543.0,2331.0,920.0,1016.0,920.0,23.8,9.6,22010.0,31.5,9.6,692.0,8.6,159.0,197.0,121.0,1.7,33.0,28.3,0.0,1601.0,27.211954384585137,17.282608695652176,62.95713723948093,8.451308451308451,11.909448818897637,3.586956521739131,0.0,0.7909460834181078,0.5826551373346898,0.6991353001017294,0.8573245167853509,0.306205493387589,0.7998474059003052,0.4203967446592065,0.797558494404883,0.5671414038657172,0.6103763987792472,0.46795523906408953,0.9521871820956256,0.4572736520854527,0.5239064089521872,0.0,2.930061037639878,2.3240081383519837,1.1775178026449644,2.4013224821973553,0.784587995930824,0.719735503560529,0.5913021363173957,0.6355544252288912,8.832909460834182,0.7484740590030519
1400000US34001000200,"Census Tract 2, Atlantic County, New Jersey",200,3547.0,3373.0,1436.0,2072.0,1436.0,11.0,11.0,28468.0,27.3,22.2,542.0,17.1,60.0,528.0,899.0,0.0,60.0,18.6,0.0,2356.0,15.280518748237949,4.178272980501393,66.42232872850296,15.653720723391642,43.38803088803089,4.178272980501393,0.0,0.5081383519837233,0.6818413021363174,0.5066124109867752,0.8001017293997965,0.92293997965412,0.14496439471007122,0.9318413021363174,0.27288911495422175,0.582909460834181,0.7856052899287894,0.7286368260427264,0.0,0.4908443540183113,0.43921668362156663,0.0,2.496693794506612,2.2726347914547302,1.3685147507629705,1.6586978636826042,0.6569175991861648,0.6881993896236012,0.7232960325534079,0.33214649033570703,7.796541200406917,0.6180061037639878
1400000US34001000300,"Census Tract 3, Atlantic County, New Jersey",300,4149.0,3715.0,1410.0,1792.0,1410.0,27.0,17.8,15694.0,33.2,8.4,1095.0,7.7,224.0,1164.0,450.0,0.0,237.0,43.8,12.0,3184.0,26.391901663051335,15.886524822695035,76.7413834658954,31.332436069986542,25.11160714285714,16.80851063829787,0.28922631959508316,0.8397761953204476,0.91353001017294,0.887589013224822,0.8809766022380467,0.22304170905391657,0.754323499491353,0.3176500508646999,0.768056968463886,0.6353001017293998,0.9537131230925737,0.6210579857578841,0.0,0.9071719226856562,0.6566632756866735,0.5714649033570702,3.521871820956256,2.0630722278738554,1.5890132248219735,2.756358087487284,0.9290437436419126,0.535350966429298,0.8715666327568667,0.7583926754832147,9.93031536113937,0.8697863682604272
1400000US34001000400,"Census Tract 4, Atlantic County, New Jersey",400,3228.0,3021.0,1427.0,2572.0,1427.0,25.7,11.3,25550.0,30.8,13.0,597.0,13.3,120.0,473.0,1919.0,1.2,155.0,34.4,85.0,1909.0,18.49442379182156,8.409250175192712,59.138785625774474,15.657067196292617,74.61119751166407,10.861948142957253,2.6332094175960346,0.8212105798575788,0.7016785350966429,0.590030518819939,0.8499491353001017,0.5521363173957273,0.26119023397761953,0.8173957273652085,0.53382502543235,0.5465412004069176,0.7858596134282808,0.8476602238046795,0.9300610376398779,0.7866225839267549,0.5790946083418108,0.8468972533062055,2.9628687690742628,2.164547304170905,1.3324008138351984,3.990335707019329,0.7957782299084435,0.6185147507629705,0.6932858596134283,0.987792472024415,10.450152594099695,0.9117497456765005
1400000US34001001500,"Census Tract 15, Atlantic County, New Jersey",1500,1064.0,1041.0,733.0,846.0,733.0,49.3,18.0,14075.0,31.9,31.1,71.0,30.7,0.0,98.0,592.0,0.0,10.0,75.6,12.0,875.0,6.672932330827067,0.0,82.23684210526315,9.41402497598463,69.97635933806146,1.364256480218281,1.1278195488721805,0.9799084435401831,0.9173448626653102,0.9216683621566633,0.8641912512716174,0.9766022380467956,0.02721261444557477,0.9933875890132248,0.0,0.67293997965412,0.6408952187182095,0.83646998982706,0.0,0.280264496439471,0.9150559511698881,0.768056968463886,3.683112919633774,1.9972024415055953,1.3138351983723295,2.799847405900305,0.961088504577823,0.4893184130213632,0.6813326551373347,0.7746693794506613,9.793997965412004,0.8585961342828077
1400000US34001001900,"Census Tract 19, Atlantic County, New Jersey",1900,1748.0,1579.0,762.0,1084.0,762.0,9.6,15.9,22413.0,29.6,8.6,445.0,16.6,108.0,112.0,727.0,0.0,95.0,51.6,8.0,1365.0,25.45766590389016,14.173228346456693,78.08924485125858,7.093096896770108,67.06642066420665,12.46719160104987,0.45766590389016015,0.4649033570701933,0.8766531027466938,0.6881993896236012,0.8334181078331638,0.23550356052899288,0.7011698880976602,0.9221770091556459,0.7260935910478128,0.6436927772126144,0.5592573753814852,0.8247711088504578,0.0,0.8301119023397762,0.7115971515768057,0.6475076297049848,2.863173957273652,2.5849440488301116,1.2029501525940995,3.013987792472024,0.7627161749745677,0.848677517802645,0.6055442522889115,0.8456256358087487,9.665055951169887,0.8463886063072228
1400000US34001010104,"Census Tract 101.04, Atlantic County, New Jersey",10104,1616.0,1601.0,869.0,2076.0,869.0,13.4,6.0,33681.0,5.4,21.8,115.0,12.4,41.0,37.0,572.0,1.5,0.0,14.5,5.0,147.0,7.116336633663367,4.7180667433832,9.096534653465346,2.31105559025609,27.552986512524082,0.0,0.3094059405940594,0.5775686673448627,0.24313326551373346,0.36953204476093593,0.1752288911495422,0.9183621566632757,0.0297558494404883,0.7744150559511699,0.3176500508646999,0.0757884028484232,0.2767039674465921,0.6403865717192269,0.9437945066124109,0.0,0.3964903357070193,0.5849440488301119,1.3654628687690744,2.040183112919634,0.3524923702950153,2.565615462868769,0.32553407934893186,0.5203458799593083,0.14572736520854526,0.6866734486266531,6.323753814852493,0.4188708036622584
1400000US34001010403,"Census Tract 104.03, Atlantic County, New Jersey",10403,6403.0,6045.0,1819.0,1866.0,1819.0,8.1,7.0,24002.0,18.2,12.3,1872.0,7.8,142.0,302.0,188.0,0.0,65.0,6.6,237.0,3349.0,29.236295486490707,7.806487080813634,52.30360768389817,4.9958643507030605,10.07502679528403,3.573391973611874,3.7013899734499454,0.4015768056968464,0.3397761953204476,0.6378433367243134,0.6236012207527976,0.5017802644964394,0.8756358087487284,0.3311291963377416,0.507884028484232,0.5076297049847406,0.46210579857578843,0.4379450661241099,0.0,0.4557477110885046,0.2466937945066124,0.8814852492370295,2.002797558494405,2.2164292980671414,0.9697355035605291,2.0218718209562563,0.5076297049847406,0.6490335707019329,0.4371820956256358,0.4735503560528993,7.210834181078331,0.5447609359104781
1400000US34001010800,"Census Tract 108, Atlantic County, New Jersey",10800,3045.0,2918.0,1077.0,1190.0,1077.0,13.9,6.3,23746.0,19.2,21.7,540.0,13.3,87.0,236.0,110.0,0.8,46.0,15.7,270.0,646.0,17.733990147783253,8.07799442896936,21.21510673234811,8.087731322823853,9.243697478991596,4.2711234911792015,8.866995073891626,0.5940996948118006,0.2777212614445575,0.6457273652085452,0.6508138351983723,0.9168362156663276,0.22558494404883012,0.8173957273652085,0.521617497456765,0.228382502543235,0.5956256358087487,0.426500508646999,0.9003051881993896,0.49593082400813837,0.41200406917599186,0.9440488301119023,2.1683621566632754,2.481434384537131,0.8240081383519837,3.1787894201424214,0.5587487283825026,0.805442522889115,0.3593591047812818,0.8921668362156663,8.652594099694813,0.7268565615462869
1400000US34001011100,"Census Tract 111, Atlantic County, New Jersey",11100,3210.0,3081.0,1173.0,1228.0,1173.0,17.1,7.8,26591.0,22.7,15.2,605.0,10.6,36.0,363.0,39.0,1.0,45.0,9.0,58.0,1162.0,18.847352024922117,3.0690537084398977,36.1993769470405,11.781888997078871,3.175895765472313,3.836317135549872,1.8068535825545171,0.6752288911495422,0.4193794506612411,0.5615462868769074,0.7258392675483215,0.7001525940996948,0.2805188199389624,0.6401322482197355,0.18794506612410986,0.38453713123092575,0.7026958290946084,0.2853509664292981,0.9173448626653102,0.4722787385554425,0.30544252288911494,0.8120549338758901,2.381993896236012,1.8087487283825023,1.0872329603255342,2.792472024415056,0.6200406917599186,0.34130213631739575,0.5200915564598169,0.7723804679552391,8.070447609359103,0.6569175991861648
