FID,STATEFP,COUNTYFP,TRACTCE,AFFGEOID,GEOID,NAME,LSAD,ALAND,AWATER
0,34,23,403,1400000US34023000403,34023000403,4.03,CT,2205918,8730
1,34,23,1200,1400000US34023001200,34023001200,12,CT,1296681,0
2,34,23,1600,1400000US34023001600,34023001600,16,CT,1421655,0
3,34,23,2101,1400000US34023002101,34023002101,21.01,CT,1240001,0
4,34,23,2805,1400000US34023002805,34023002805,28.05,CT,1362094,0
5,34,23,4300,1400000US34023004300,34023004300,43,CT,639183,0
6,34,23,5602,1400000US34023005602,34023005602,56.02,CT,693787,0
7,34,23,6204,1400000US34023006204,34023006204,62.04,CT,1170009,0
8,34,23,6300,1400000US34023006300,34023006300,63,CT,4019301,110922
9,34,23,6607,1400000US34023006607,34023006607,66.07,CT,2631663,0
10,34,23,7303,1400000US34023007303,34023007303,73.03,CT,984486,0
11,34,23,7806,1400000US34023007806,34023007806,78.06,CT,2140743,0
12,34,23,7908,1400000US34023007908,34023007908,79.08,CT,2587610,74961
13,34,23,8405,1400000US34023008405,34023008405,84.05,CT,4990770,4665
14,34,23,9300,1400000US34023009300,34023009300,93,CT,1013221,248231
15,34,25,801400,1400000US34025801400,34025801400,8014,CT,3710165,510998
16,34,25,803100,1400000US34025803100,34025803100,8031,CT,2309988,103190
17,34,25,806202,1400000US34025806202,34025806202,8062.02,CT,4329976,88669
18,34,25,807200,1400000US34025807200,34025807200,8072,CT,375481,0
19,34,25,808300,1400000US34025808300,34025808300,8083,CT,1102171,298588
20,34,25,810101,1400000US34025810101,34025810101,8101.01,CT,4614967,7262
21,34,25,810800,1400000US34025810800,34025810800,8108,CT,1156959,0
22,34,25,811000,1400000US34025811000,34025811000,8110,CT,1192666,0
23,34,25,811303,1400000US34025811303,34025811303,8113.03,CT,4458246,64676
24,34,29,711200,1400000US34029711200,34029711200,7112,CT,2029965,381756
25,34,29,714100,1400000US34029714100,34029714100,7141,CT,3405391,369506
26,34,29,715302,1400000US34029715302,34029715302,7153.02,CT,960898,0
27,34,29,721000,1400000US34029721000,34029721000,7210,CT,2260505,240040
28,34,29,722200,1400000US34029722200,34029722200,7222,CT,3459898,110965
29,34,29,723100,1400000US34029723100,34029723100,7231,CT,3707976,39058
30,34,29,731205,1400000US34029731205,34029731205,7312.05,CT,4240090,69315
31,34,29,735101,1400000US34029735101,34029735101,7351.01,CT,9107788,33470
42,34,39,30400,1400000US34039030400,34039030400,304,CT,538703,0
43,34,39,31500,1400000US34039031500,34039031500,315,CT,847692,0
44,34,39,33100,1400000US34039033100,34039033100,331,CT,1637415,0
45,34,39,34600,1400000US34039034600,34039034600,346,CT,781049,0
46,34,39,35900,1400000US34039035900,34039035900,359,CT,774797,0
47,34,39,36700,1400000US34039036700,34039036700,367,CT,2397869,0
48,34,39,37900,1400000US34039037900,34039037900,379,CT,4917626,53001
49,34,39,39000,1400000US34039039000,34039039000,390,CT,1001033,0
50,34,39,39500,1400000US34039039500,34039039500,395,CT,1459216,0
51,34,1,500,1400000US34001000500,34001000500,5,CT,267914,85561
52,34,1,1500,1400000US34001001500,34001001500,15,CT,300089,0
53,34,1,10506,1400000US34001010506,34001010506,105.06,CT,11021860,307775
54,34,1,12000,1400000US34001012000,34001012000,120,CT,6458574,1690386
55,34,1,13301,1400000US34001013301,34001013301,133.01,CT,2029895,1873190
56,34,3,2200,1400000US34003002200,34003002200,22,CT,5873394,24988
57,34,3,3500,1400000US34003003500,34003003500,35,CT,1418062,9362
58,34,3,11300,1400000US34003011300,34003011300,113,CT,2099999,105212
59,34,3,17500,1400000US34003017500,34003017500,175,CT,2850221,6158
60,34,3,19304,1400000US34003019304,34003019304,193.04,CT,570360,0
61,34,3,21400,1400000US34003021400,34003021400,214,CT,1005082,12318
62,34,3,23601,1400000US34003023601,34003023601,236.01,CT,1003461,47659
63,34,3,31400,1400000US34003031400,34003031400,314,CT,1238703,0
64,34,3,37201,1400000US34003037201,34003037201,372.01,CT,1521544,12964
65,34,3,44202,1400000US34003044202,34003044202,442.02,CT,4670775,16076
66,34,3,51100,1400000US34003051100,34003051100,511,CT,1557253,40471
67,34,3,55200,1400000US34003055200,34003055200,552,CT,3611541,12514
78,34,9,20901,1400000US34009020901,34009020901,209.01,CT,3734560,4810629
79,34,9,21600,1400000US34009021600,34009021600,216,CT,3352065,1472705
83,34,13,200,1400000US34013000200,34013000200,2,CT,763973,22301
84,34,13,1300,1400000US34013001300,34013001300,13,CT,223279,0
85,34,13,2202,1400000US34013002202,34013002202,22.02,CT,386950,0
86,34,13,4300,1400000US34013004300,34013004300,43,CT,377481,0
87,34,13,6400,1400000US34013006400,34013006400,64,CT,309844,0
88,34,13,8900,1400000US34013008900,34013008900,89,CT,137212,0
89,34,13,9400,1400000US34013009400,34013009400,94,CT,622901,0
90,34,13,9700,1400000US34013009700,34013009700,97,CT,410689,1472
91,34,13,10500,1400000US34013010500,34013010500,105,CT,489573,0
92,34,13,12400,1400000US34013012400,34013012400,124,CT,594247,0
93,34,13,13700,1400000US34013013700,34013013700,137,CT,1176657,8937
94,34,13,15500,1400000US34013015500,34013015500,155,CT,868794,15735
95,34,13,17000,1400000US34013017000,34013017000,170,CT,1070050,0
96,34,13,18200,1400000US34013018200,34013018200,182,CT,489203,0
97,34,13,21300,1400000US34013021300,34013021300,213,CT,5933381,7198
98,34,13,23000,1400000US34013023000,34013023000,230,CT,367018,0
99,34,17,100,1400000US34017000100,34017000100,1,CT,516711,0
100,34,17,200,1400000US34017000200,34017000200,2,CT,264764,0
101,34,17,300,1400000US34017000300,34017000300,3,CT,306785,0
102,34,17,1000,1400000US34017001000,34017001000,10,CT,125344,0
103,34,17,2400,1400000US34017002400,34017002400,24,CT,159733,0
104,34,17,4800,1400000US34017004800,34017004800,48,CT,942350,305932
105,34,17,6500,1400000US34017006500,34017006500,65,CT,374033,0
106,34,17,7500,1400000US34017007500,34017007500,75,CT,301898,0
107,34,17,10700,1400000US34017010700,34017010700,107,CT,384169,0
108,34,17,13100,1400000US34017013100,34017013100,131,CT,231153,20889
109,34,17,14501,1400000US34017014501,34017014501,145.01,CT,462258,0
110,34,17,15801,1400000US34017015801,34017015801,158.01,CT,300210,461917
111,34,17,16800,1400000US34017016800,34017016800,168,CT,165681,0
112,34,17,18000,1400000US34017018000,34017018000,180,CT,218045,0
113,34,17,19100,1400000US34017019100,34017019100,191,CT,152522,0
114,34,17,19200,1400000US34017019200,34017019200,192,CT,274681,0
115,34,23,501,1400000US34023000501,34023000501,5.01,CT,2499632,0
116,34,39,38101,1400000US34039038101,34039038101,381.01,CT,3518526,2676
117,34,39,38800,1400000US34039038800,34039038800,388,CT,1584904,0
118,34,39,39600,1400000US34039039600,34039039600,396,CT,1538879,0
119,34,39,39700,1400000US34039039700,34039039700,397,CT,2567720,11747
120,34,23,802,1400000US34023000802,34023000802,8.02,CT,1674148,0
121,34,23,1410,1400000US34023001410,34023001410,14.1,CT,1989398,0
122,34,23,1502,1400000US34023001502,34023001502,15.02,CT,3666077,64495
123,34,23,1701,1400000US34023001701,34023001701,17.01,CT,3779214,0
124,34,23,1902,1400000US34023001902,34023001902,19.02,CT,843763,0
125,34,23,2200,1400000US34023002200,34023002200,22,CT,1676936,1241
126,34,23,2605,1400000US34023002605,34023002605,26.05,CT,1278627,0
127,34,23,3102,1400000US34023003102,34023003102,31.02,CT,1529316,0
128,34,23,4100,1400000US34023004100,34023004100,41,CT,544513,0
129,34,23,4200,1400000US34023004200,34023004200,42,CT,589568,0
130,34,23,4700,1400000US34023004700,34023004700,47,CT,648592,0
131,34,23,6608,1400000US34023006608,34023006608,66.08,CT,2355460,849
132,34,23,7202,1400000US34023007202,34023007202,72.02,CT,2710470,7167
133,34,23,7704,1400000US34023007704,34023007704,77.04,CT,1896497,0
134,34,23,7805,1400000US34023007805,34023007805,78.05,CT,1886034,0
135,34,13,16300,1400000US34013016300,34013016300,163,CT,1527379,0
136,34,13,16700,1400000US34013016700,34013016700,167,CT,512073,0
137,34,13,17600,1400000US34013017600,34013017600,176,CT,812900,0
138,34,13,18100,1400000US34013018100,34013018100,181,CT,557572,0
139,34,13,19400,1400000US34013019400,34013019400,194,CT,3113787,8951
140,34,13,20200,1400000US34013020200,34013020200,202,CT,2201919,1319
141,34,39,30200,1400000US34039030200,34039030200,302,CT,396854,0
142,34,39,30701,1400000US34039030701,34039030701,307.01,CT,324112,0
143,34,39,31200,1400000US34039031200,34039031200,312,CT,866687,0
144,34,39,31801,1400000US34039031801,34039031801,318.01,CT,570315,0
145,34,39,32500,1400000US34039032500,34039032500,325,CT,2279885,20911
146,34,13,23100,1400000US34013023100,34013023100,231,CT,478035,0
147,34,17,500,1400000US34017000500,34017000500,5,CT,219021,0
148,34,17,1202,1400000US34017001202,34017001202,12.02,CT,231665,0
